iter	Passed	Remaining
816	3437	769
817	3440	765
818	3444	761
819	3447	756
820	3450	752
821	3454	748
822	3457	743
823	3462	739
824	3466	735
825	3469	730
826	3473	726
827	3476	722
828	3480	717
829	3483	713
830	3487	709
831	3491	704
832	3494	700
833	3498	696
834	3501	691
835	3504	687
836	3508	683
837	3511	678
838	3514	674
839	3519	670
840	3522	665
841	3526	661
842	3529	657
843	3533	653
844	3537	648
845	3540	644
846	3544	640
847	3547	635
848	3551	631
849	3554	627
850	3558	622
851	3561	618
852	3565	614
853	3568	610
854	3571	605
855	3575	601
856	3579	597
857	3583	593
858	3586	588
859	3590	584
860	3594	580
861	3598	576
862	3601	571
863	3605	567
864	3609	563
865	3613	559
866	3616	554
867	3620	550
868	3623	546
869	3627	542
870	3631	537
871	3634	533
872	3638	529
873	3642	525
874	3646	520
875	3649	516
876	3652	512
877	3656	508
878	3660	503
879	3663	499
880	3667	495
881	3671	491
882	3675	487
883	3679	482
884	3684	478
885	3687	474
886	3692	470
887	3696	466
888	3700	462
889	3704	457
890	3708	453
891	3711	449
892	3716	445
893	3719	441
894	3724	436
895	3729	432
896	3733	428
897	3738	424
898	3742	420
899	3746	416
900	3750	412
901	3755	408
902	3760	403
903	3765	399
904	3769	395
905	3774	391
906	3778	387
907	3782	383
908	3786	379
909	3790	374
910	3795	370
911	3799	366
912	3803	362
913	3807	358
914	3811	354
915	3815	349
916	3819	345
917	3823	341
918	3827	337
919	3830	333
920	3834	328
921	3838	324
922	3842	320
923	3845	316
924	3850	312
925	3855	308
926	3859	303
927	3864	299
928	3868	295
929	3872	291
930	3876	287
931	3880	283
932	3885	279
933	3890	274
934	3893	270
935	3897	266
936	3902	262
937	3906	258
938	3910	254
939	3914	249
940	3918	245
941	3921	241
942	3925	237
943	3929	233
944	3945	229
945	3949	225
946	3953	221
947	3956	217
948	3960	212
949	3964	208
950	3968	204
951	3972	200
952	3975	196
953	3979	191
954	3983	187
955	3987	183
956	3990	179
957	3994	175
958	4000	171
959	4005	166
960	4009	162
961	4014	158
962	4018	154
963	4024	150
964	4028	146
965	4032	141
966	4037	137
967	4042	133
968	4046	129
969	4049	125
970	4055	121
971	4059	116
972	4063	112
973	4068	108
974	4072	104
975	4075	100
976	4079	96
977	4083	91
978	4087	87
979	4091	83
980	4095	79
981	4099	75
982	4103	70
983	4107	66
984	4110	62
985	4114	58
986	4119	54
987	4122	50
988	4126	45
989	4130	41
990	4134	37
991	4137	33
992	4141	29
993	4145	25
994	4149	20
995	4153	16
996	4156	12
997	4160	8
998	4164	4
999	4168	0
